sep=;
Hersteller:;Pfeiffer-Vacuum
Gerät:;TPG362
Artikelnummer:;PT G28 290
Seriennummer:;44992684
Firmware Version:;010500
Dateiname:;OIPT LA_20250319_061831.csv
Datum / Zeit:;2025-03-19  06:18
Messintervall:;10s
Sensor 1:;PKR
Sensor 2:;KEIN SENSOR
Datum;Zeit;Sensor 1 [mBar];Sensor 2 [mBar];
2025-03-19;06:18:35;4,0333e-08;0,0000e+00;
2025-03-19;06:18:45;4,0351e-08;0,0000e+00;
2025-03-19;06:18:55;4,0355e-08;0,0000e+00;
2025-03-19;06:19:05;4,0329e-08;0,0000e+00;
2025-03-19;06:19:15;4,0331e-08;0,0000e+00;
2025-03-19;06:19:25;4,0336e-08;0,0000e+00;
2025-03-19;06:19:35;4,0343e-08;0,0000e+00;
2025-03-19;06:19:45;4,0348e-08;0,0000e+00;
2025-03-19;06:19:55;4,0325e-08;0,0000e+00;
2025-03-19;06:20:05;4,0327e-08;0,0000e+00;
2025-03-19;06:20:15;4,0322e-08;0,0000e+00;
2025-03-19;06:20:25;4,0373e-08;0,0000e+00;
2025-03-19;06:20:35;4,0333e-08;0,0000e+00;
2025-03-19;06:20:45;4,0333e-08;0,0000e+00;
2025-03-19;06:20:55;4,0288e-08;0,0000e+00;
2025-03-19;06:21:05;4,0329e-08;0,0000e+00;
2025-03-19;06:21:15;4,0294e-08;0,0000e+00;
2025-03-19;06:21:25;4,0329e-08;0,0000e+00;
2025-03-19;06:21:35;4,0331e-08;0,0000e+00;
2025-03-19;06:21:45;4,0674e-08;0,0000e+00;
2025-03-19;06:21:55;1,1583e-07;0,0000e+00;
2025-03-19;06:22:05;2,4752e-07;0,0000e+00;
2025-03-19;06:22:15;3,7065e-07;0,0000e+00;
2025-03-19;06:22:25;4,9101e-07;0,0000e+00;
2025-03-19;06:22:35;6,1018e-07;0,0000e+00;
2025-03-19;06:22:45;7,2958e-07;0,0000e+00;
2025-03-19;06:22:55;8,4813e-07;0,0000e+00;
2025-03-19;06:23:05;9,6485e-07;0,0000e+00;
2025-03-19;06:23:15;1,0830e-06;0,0000e+00;
2025-03-19;06:23:25;1,2012e-06;0,0000e+00;
2025-03-19;06:23:35;1,3193e-06;0,0000e+00;
2025-03-19;06:23:45;1,4365e-06;0,0000e+00;
2025-03-19;06:23:55;1,5502e-06;0,0000e+00;
2025-03-19;06:24:05;1,6609e-06;0,0000e+00;
2025-03-19;06:24:15;1,7726e-06;0,0000e+00;
2025-03-19;06:24:25;1,8855e-06;0,0000e+00;
2025-03-19;06:24:35;1,9981e-06;0,0000e+00;
2025-03-19;06:24:45;2,1122e-06;0,0000e+00;
2025-03-19;06:24:55;2,2244e-06;0,0000e+00;
2025-03-19;06:25:05;2,3383e-06;0,0000e+00;
2025-03-19;06:25:15;2,4482e-06;0,0000e+00;
2025-03-19;06:25:25;2,5612e-06;0,0000e+00;
2025-03-19;06:25:35;2,6722e-06;0,0000e+00;
2025-03-19;06:25:45;2,7824e-06;0,0000e+00;
2025-03-19;06:25:55;2,8953e-06;0,0000e+00;
2025-03-19;06:26:05;3,0055e-06;0,0000e+00;
2025-03-19;06:26:15;3,1147e-06;0,0000e+00;
2025-03-19;06:26:25;3,2262e-06;0,0000e+00;
2025-03-19;06:26:35;3,3355e-06;0,0000e+00;
2025-03-19;06:26:45;3,4423e-06;0,0000e+00;
2025-03-19;06:26:55;3,5465e-06;0,0000e+00;
2025-03-19;06:27:05;3,6497e-06;0,0000e+00;
2025-03-19;06:27:15;3,7509e-06;0,0000e+00;
2025-03-19;06:27:25;3,8561e-06;0,0000e+00;
2025-03-19;06:27:35;3,9590e-06;0,0000e+00;
2025-03-19;06:27:45;4,0590e-06;0,0000e+00;
2025-03-19;06:27:55;4,1586e-06;0,0000e+00;
2025-03-19;06:28:05;4,2596e-06;0,0000e+00;
2025-03-19;06:28:15;4,3628e-06;0,0000e+00;
2025-03-19;06:28:25;4,4591e-06;0,0000e+00;
2025-03-19;06:28:35;4,5605e-06;0,0000e+00;
2025-03-19;06:28:45;4,6586e-06;0,0000e+00;
2025-03-19;06:28:55;4,7579e-06;0,0000e+00;
2025-03-19;06:29:05;4,8555e-06;0,0000e+00;
2025-03-19;06:29:15;4,9540e-06;0,0000e+00;
2025-03-19;06:29:25;5,0511e-06;0,0000e+00;
2025-03-19;06:29:35;5,1473e-06;0,0000e+00;
2025-03-19;06:29:45;5,2405e-06;0,0000e+00;
2025-03-19;06:29:55;5,3373e-06;0,0000e+00;
2025-03-19;06:30:05;5,4338e-06;0,0000e+00;
