sep=;
Producer:;Pfeiffer-Vacuum
Device:;TPG362
Product number:;PT G28 290
Serial number:;44990208
Firmware version:;010500
Filename:;FRN_20240905_141606.csv
Date: / time:;2024-09-05  14:16
Sampletime:;10s
Channel 1:;TPR/PCR
Channel 2:;PKR
Date;Time;Channel 1 [mBar];Channel 2 [mBar];
2024-09-05;14:16:16;9,7682e+02;1,0144e+03;
2024-09-05;14:16:26;9,7682e+02;1,0144e+03;
2024-09-05;14:16:36;9,7687e+02;1,0144e+03;
2024-09-05;14:16:46;9,7683e+02;1,0144e+03;
2024-09-05;14:16:56;9,7679e+02;1,0144e+03;
2024-09-05;14:17:06;9,7684e+02;1,0144e+03;
2024-09-05;14:17:16;9,7101e+02;1,0144e+03;
2024-09-05;14:17:26;9,0598e+02;1,0144e+03;
2024-09-05;14:17:36;8,3184e+02;1,0144e+03;
2024-09-05;14:17:46;7,7123e+02;1,0144e+03;
2024-09-05;14:17:56;7,1690e+02;1,0144e+03;
2024-09-05;14:18:06;6,6725e+02;1,0144e+03;
2024-09-05;14:18:16;6,2203e+02;1,0144e+03;
2024-09-05;14:18:26;5,8083e+02;1,0144e+03;
2024-09-05;14:18:36;5,4247e+02;1,0144e+03;
2024-09-05;14:18:46;5,0675e+02;1,0144e+03;
2024-09-05;14:18:56;4,7379e+02;1,0144e+03;
2024-09-05;14:19:06;4,4305e+02;1,0144e+03;
2024-09-05;14:19:16;4,1469e+02;1,0144e+03;
2024-09-05;14:19:26;3,8827e+02;1,0144e+03;
2024-09-05;14:19:36;3,6344e+02;1,0144e+03;
2024-09-05;14:19:46;3,3998e+02;1,0144e+03;
2024-09-05;14:19:56;3,1810e+02;1,0144e+03;
2024-09-05;14:20:06;2,9774e+02;1,0144e+03;
2024-09-05;14:20:16;2,7878e+02;1,0144e+03;
2024-09-05;14:20:26;2,6101e+02;1,0144e+03;
2024-09-05;14:20:36;2,4442e+02;1,0144e+03;
2024-09-05;14:20:46;2,2910e+02;1,0144e+03;
2024-09-05;14:20:56;2,1463e+02;1,0144e+03;
2024-09-05;14:21:06;2,0096e+02;1,0144e+03;
2024-09-05;14:21:16;1,8837e+02;1,0144e+03;
2024-09-05;14:21:26;1,7695e+02;1,0144e+03;
