sep=;
Producer:;Pfeiffer-Vacuum
Device:;TPG362
Product number:;PT G28 290
Serial number:;44990208
Firmware version:;010184
Filename:;HZB    _20190131_121608.csv
Date: / time:;2019-01-31  12:16
Sampletime:;10s
Channel 1:;IKR
Channel 2:;noSENSOR
Date;Time;Channel 1 [hPascal];Channel 2 [hPascal];
2019-01-31;12:16:24;1,5991e-05;0,0000e+00;
2019-01-31;12:16:34;1,5547e-05;0,0000e+00;
2019-01-31;12:16:44;1,4982e-05;0,0000e+00;
2019-01-31;12:16:54;1,4605e-05;0,0000e+00;
2019-01-31;12:17:04;1,4269e-05;0,0000e+00;
2019-01-31;12:17:14;1,3971e-05;0,0000e+00;
2019-01-31;12:17:24;1,3697e-05;0,0000e+00;
2019-01-31;12:17:34;1,3417e-05;0,0000e+00;
2019-01-31;12:17:44;1,3182e-05;0,0000e+00;
2019-01-31;12:17:54;1,2963e-05;0,0000e+00;
2019-01-31;12:18:04;1,2773e-05;0,0000e+00;
2019-01-31;12:18:14;1,2585e-05;0,0000e+00;
2019-01-31;12:18:24;1,2414e-05;0,0000e+00;
2019-01-31;12:18:34;1,2257e-05;0,0000e+00;
2019-01-31;12:18:44;1,2114e-05;0,0000e+00;
2019-01-31;12:18:54;1,1971e-05;0,0000e+00;
2019-01-31;12:19:04;1,1838e-05;0,0000e+00;
2019-01-31;12:19:14;1,1727e-05;0,0000e+00;
2019-01-31;12:19:24;1,1592e-05;0,0000e+00;
2019-01-31;12:19:34;1,1457e-05;0,0000e+00;
2019-01-31;12:19:44;1,1338e-05;0,0000e+00;
2019-01-31;12:19:54;1,1211e-05;0,0000e+00;
2019-01-31;12:20:04;1,1096e-05;0,0000e+00;
2019-01-31;12:20:14;1,1000e-05;0,0000e+00;
2019-01-31;12:20:24;1,0894e-05;0,0000e+00;
2019-01-31;12:20:34;1,0805e-05;0,0000e+00;
2019-01-31;12:20:44;1,0718e-05;0,0000e+00;
2019-01-31;12:20:54;1,0641e-05;0,0000e+00;
2019-01-31;12:21:04;1,0582e-05;0,0000e+00;
2019-01-31;12:21:14;1,0488e-05;0,0000e+00;
2019-01-31;12:21:24;1,0398e-05;0,0000e+00;
2019-01-31;12:21:34;1,0298e-05;0,0000e+00;
2019-01-31;12:21:44;1,0202e-05;0,0000e+00;
2019-01-31;12:21:54;1,0109e-05;0,0000e+00;
2019-01-31;12:22:04;1,0021e-05;0,0000e+00;
2019-01-31;12:22:14;9,9322e-06;0,0000e+00;
2019-01-31;12:22:24;9,8523e-06;0,0000e+00;
2019-01-31;12:22:34;9,7842e-06;0,0000e+00;
2019-01-31;12:22:44;9,6918e-06;0,0000e+00;
2019-01-31;12:22:54;9,6256e-06;0,0000e+00;
2019-01-31;12:23:04;9,5652e-06;0,0000e+00;
2019-01-31;12:23:14;9,5108e-06;0,0000e+00;
2019-01-31;12:23:24;9,4585e-06;0,0000e+00;
2019-01-31;12:23:34;9,4237e-06;0,0000e+00;
2019-01-31;12:23:44;9,3837e-06;0,0000e+00;
2019-01-31;12:23:54;9,3449e-06;0,0000e+00;
2019-01-31;12:24:04;9,3164e-06;0,0000e+00;
2019-01-31;12:24:14;9,2956e-06;0,0000e+00;
2019-01-31;12:24:24;9,2680e-06;0,0000e+00;
2019-01-31;12:24:34;9,2654e-06;0,0000e+00;
2019-01-31;12:24:44;9,2358e-06;0,0000e+00;
2019-01-31;12:24:54;9,2151e-06;0,0000e+00;
2019-01-31;12:25:04;9,1927e-06;0,0000e+00;
2019-01-31;12:25:14;9,1607e-06;0,0000e+00;
2019-01-31;12:25:24;9,1361e-06;0,0000e+00;
2019-01-31;12:25:34;9,1147e-06;0,0000e+00;
2019-01-31;12:25:44;9,0842e-06;0,0000e+00;
2019-01-31;12:25:54;9,0601e-06;0,0000e+00;
2019-01-31;12:26:04;9,0196e-06;0,0000e+00;
2019-01-31;12:26:14;8,9960e-06;0,0000e+00;
2019-01-31;12:26:24;8,9800e-06;0,0000e+00;
2019-01-31;12:26:34;8,9636e-06;0,0000e+00;
2019-01-31;12:26:44;8,9662e-06;0,0000e+00;
2019-01-31;12:26:54;8,9510e-06;0,0000e+00;
2019-01-31;12:27:04;8,9375e-06;0,0000e+00;
2019-01-31;12:27:14;8,9310e-06;0,0000e+00;
2019-01-31;12:27:24;8,9289e-06;0,0000e+00;
2019-01-31;12:27:34;8,9255e-06;0,0000e+00;
2019-01-31;12:27:44;8,9178e-06;0,0000e+00;
2019-01-31;12:27:54;8,9147e-06;0,0000e+00;
2019-01-31;12:28:04;8,6580e-06;0,0000e+00;
2019-01-31;12:28:14;8,6622e-06;0,0000e+00;
2019-01-31;12:28:24;8,6657e-06;0,0000e+00;
2019-01-31;12:28:34;8,6528e-06;0,0000e+00;
2019-01-31;12:28:44;8,6653e-06;0,0000e+00;
2019-01-31;12:28:54;8,6484e-06;0,0000e+00;
2019-01-31;12:29:04;8,6555e-06;0,0000e+00;
2019-01-31;12:29:14;8,6514e-06;0,0000e+00;
2019-01-31;12:29:24;8,6411e-06;0,0000e+00;
2019-01-31;12:29:34;8,6720e-06;0,0000e+00;
2019-01-31;12:29:44;8,6533e-06;0,0000e+00;
2019-01-31;12:29:54;8,6657e-06;0,0000e+00;
2019-01-31;12:30:04;8,6711e-06;0,0000e+00;
2019-01-31;12:30:14;8,6862e-06;0,0000e+00;
2019-01-31;12:30:24;8,6765e-06;0,0000e+00;
2019-01-31;12:30:34;8,6799e-06;0,0000e+00;
2019-01-31;12:30:44;8,6790e-06;0,0000e+00;
2019-01-31;12:30:54;8,7187e-06;0,0000e+00;
2019-01-31;12:31:04;8,6928e-06;0,0000e+00;
2019-01-31;12:31:14;8,7074e-06;0,0000e+00;
2019-01-31;12:31:24;8,6933e-06;0,0000e+00;
2019-01-31;12:31:34;8,6868e-06;0,0000e+00;
2019-01-31;12:31:44;8,7022e-06;0,0000e+00;
2019-01-31;12:31:54;8,7056e-06;0,0000e+00;
2019-01-31;12:32:04;8,6957e-06;0,0000e+00;
2019-01-31;12:32:14;8,7103e-06;0,0000e+00;
2019-01-31;12:32:24;8,7081e-06;0,0000e+00;
2019-01-31;12:32:34;8,7040e-06;0,0000e+00;
2019-01-31;12:32:44;8,7219e-06;0,0000e+00;
2019-01-31;12:32:54;8,7233e-06;0,0000e+00;
2019-01-31;12:33:04;8,7322e-06;0,0000e+00;
2019-01-31;12:33:14;8,7131e-06;0,0000e+00;
2019-01-31;12:33:24;8,7118e-06;0,0000e+00;
2019-01-31;12:33:34;8,7099e-06;0,0000e+00;
2019-01-31;12:33:44;8,6982e-06;0,0000e+00;
2019-01-31;12:33:54;8,6988e-06;0,0000e+00;
2019-01-31;12:34:04;8,7916e-06;0,0000e+00;
2019-01-31;12:34:14;8,6919e-06;0,0000e+00;
2019-01-31;12:34:24;8,6875e-06;0,0000e+00;
2019-01-31;12:34:34;8,7368e-06;0,0000e+00;
2019-01-31;12:34:44;8,6654e-06;0,0000e+00;
2019-01-31;12:34:54;8,7333e-06;0,0000e+00;
2019-01-31;12:35:04;8,6366e-06;0,0000e+00;
