sep=;
Producer:;Pfeiffer-Vacuum
Device:;TPG362
Product number:;PT G28 290
Serial number:;44990208
Firmware version:;010500
Filename:;Palmer _20191128_114554.csv
Date: / time:;2019-11-28  11:46
Sampletime:;10s
Channel 1:;noSENSOR
Channel 2:;IKR
Date;Time;Channel 1 [hPascal];Channel 2 [hPascal];
2019-11-28;11:46:10;0,0000e+00;1,3918e-08;
2019-11-28;11:46:20;0,0000e+00;1,3870e-08;
2019-11-28;11:46:30;0,0000e+00;1,3810e-08;
2019-11-28;11:46:40;0,0000e+00;1,3841e-08;
2019-11-28;11:46:50;0,0000e+00;1,3791e-08;
2019-11-28;11:47:00;0,0000e+00;1,3829e-08;
2019-11-28;11:47:10;0,0000e+00;1,3795e-08;
2019-11-28;11:47:20;0,0000e+00;1,3806e-08;
2019-11-28;11:47:30;0,0000e+00;1,3802e-08;
2019-11-28;11:47:40;0,0000e+00;1,3816e-08;
2019-11-28;11:47:50;0,0000e+00;1,3811e-08;
2019-11-28;11:48:00;0,0000e+00;1,3840e-08;
2019-11-28;11:48:10;0,0000e+00;1,3842e-08;
2019-11-28;11:48:20;0,0000e+00;1,3879e-08;
2019-11-28;11:48:30;0,0000e+00;1,3857e-08;
2019-11-28;11:48:40;0,0000e+00;1,3899e-08;
2019-11-28;11:48:50;0,0000e+00;1,3924e-08;
2019-11-28;11:49:00;0,0000e+00;1,3890e-08;
2019-11-28;11:49:10;0,0000e+00;1,3978e-08;
2019-11-28;11:49:20;0,0000e+00;1,3968e-08;
2019-11-28;11:49:30;0,0000e+00;1,4041e-08;
2019-11-28;11:49:40;0,0000e+00;1,4055e-08;
2019-11-28;11:49:50;0,0000e+00;1,4116e-08;
2019-11-28;11:50:00;0,0000e+00;1,4135e-08;
2019-11-28;11:50:10;0,0000e+00;1,4130e-08;
2019-11-28;11:50:20;0,0000e+00;1,4146e-08;
2019-11-28;11:50:30;0,0000e+00;1,4242e-08;
2019-11-28;11:50:40;0,0000e+00;1,4319e-08;
2019-11-28;11:50:50;0,0000e+00;1,4335e-08;
2019-11-28;11:51:00;0,0000e+00;1,4353e-08;
2019-11-28;11:51:10;0,0000e+00;1,4423e-08;
2019-11-28;11:51:20;0,0000e+00;1,4510e-08;
2019-11-28;11:51:30;0,0000e+00;1,4538e-08;
2019-11-28;11:51:40;0,0000e+00;1,4561e-08;
2019-11-28;11:51:50;0,0000e+00;1,4648e-08;
2019-11-28;11:52:00;0,0000e+00;1,4698e-08;
2019-11-28;11:52:10;0,0000e+00;1,4756e-08;
2019-11-28;11:52:20;0,0000e+00;1,4785e-08;
2019-11-28;11:52:30;0,0000e+00;1,4840e-08;
2019-11-28;11:52:40;0,0000e+00;1,4914e-08;
2019-11-28;11:52:50;0,0000e+00;1,4969e-08;
